Airport Name,Zipcode
Hillside Stables Airport,None
Silva Ranch Airport,52070
Gage Airport,None
Daniel's Landing Airport,46733
Miles Airport,67002
Tee Brad's Airport,42301
Metropolitan Airport,70548
Socatean Bay Airport,01079
Melby Airport,None
Domeyer Airport,56309
Greener Pastures Airpark,None
Sorenson Airport,39426
Oak Grove Marine Corps Outlying Field,59532
Beaverhead Airstrip,28573
Aubrey Mountain Airstrip,None
Rigrtona Airport,97463
Richland Acres Ultralightport,16351
Jewett Mesa Airport,18955
Van Es Ranch Airport,None
Allison Ranch Airport,78337
Camano Island Airfield,None
Nowatzski Field,None
Littlefork Muni/Hanover Airport,53946
Four Corners Airport,56653
Rice-Bell Field Airport,99645
Good Pasture Airport,None
Burrs Strip,None
Sunshine Farms Airport,81023
Wells Flying Service Airport,32092
Bloom Airport,32565
Peaceful Cove Airport,45335
G & S Space Port Airport,None
Blue Haven Farm Airport,66072
Ring Hill Airport,40511
East-West Paris Airport,04434
Rose Field,49316
Holland Ranch Airport,39332
Beltzville Airport,58457
Camp Davis Mcolf Airport,18235
Aaron's Field,None
Mountain View Airport,None
Heilman Airport,68818
Pleasant Home Gliding Club Gliderport,43326
Boggs Field,44287
Hideaway Ultralightport,19512
Westport Airport,17566
Dean Ranch Airport,98595
Smith I-Ranch Airport,78070
O S Wyatt Airport,None
Keyes Ranch Airport,None
Krens Farm Airport,78620
Lz Ranch Airport,None
Lakewood Lodge Airport,98513
Isbell Ranch Airport,75092
Mark Reynolds/North Mobile County Airport,76523
Golden North Airfield,35625
Taylor Airport,None
Quail Mesa Ranch Airport,None
Hunt Farms Airport,72320
Orange Hill Airport,95340
Weltzien Skypark Airport,32025
Darla's Airport,44281
Stella Airport,31049
Scanlon Airport,52031
Bugtown Airport,61031
Sickler Airstrip,47631
Brennan Farm Airport,66868
Cloverleaf Ranch Airport,None
Canapitsit Airport,61368
Tyler Farms Airport,04097
Applegate Airport,55289
Saubak Airport,63561
Jenkins Airport,None
Dragonfly Field,19934
Sindt Airport,27910
Cavage Personal Use Airport,68932
Lester State Ultralightport,18456
Fox Acres Airport,None
Dennis Farms Airport,None
Sunset Airport,48848
Peterson Field,None
Toy Airpark,None
Nunapitchuk Airport,None
Gattis Strip,99641
Yav'pe Ma'ta Airport,72157
Dry Pen Airport,86338
Little Deer Airport,81635
Skinners Wholesale Nursery Airport,None
J-22 Ranch Airport,None
Stangl STOLport,None
Harrington Field,51440
Harold Bunger Airport,46380
Kellums Airport,60145
Barnstormers 5 Airport,None
Findley Field,48473
Bangart Field,63013
Korver Airport,59013
Trump Airport,27946
Gregg Airport,45331
Myrtle Creek Municipal Airport,15332
Seven Springs Airport,29335
Holly Lake Ranch Airport,79772
Pineridge STOLport,75765
Little Goose Lock and Dam Airport,75703
Tightcliff Airport,None
Propwash Airport,None
Outlaw Flyers Airport,None
Bredlow Farm Airport,77303
Las Trancas Airport,None
Skylane Ranch Airport,None
Cotton Strip,80513
Jumbolair-Greystone Airport,33920
Coyote Ridge Airport,30263
Dreessen Field,83645
Pruss Airport,46574
Tevis Airport,47018
Lester Airfield,66510
Oink Acres Airport,42372
Yankee Field,61853
Bresett'S Mountainside Airport,None
Rgl Field,04754
Abel Ranch Airport,63361
B-B Airfield,None
Mitchell Field,None
Re-Dun Field,None
Kosik Private Airport,28337
Haas Airport,44050
Glide Aero Airport,45612
Chehalem Airpark,97443
Carolina Cow Country Airport,97115
Stone's Conservation Airport,29325
Comfort Airpark,None
Murphy Field,None
Kimzey Airport,37681
Jake Garn Airport,None
Ha-Rail Airport,84005
Jacksonville / Hunter Field,53551
Quahadi Ranch Airport,75857
18 Meadows Aerodrome,None
Buck Mountain Airport,99827
Sky Ranch At Carefree Airport,None
Bowles Airport,85277
Skypark Estates Owners Assoc Airport,None
Sleepy Hollow Airport,32531
Mc Gill Airport,30655
Kester Fly Inn Airport,46034
Skamokawa East Valley Airport,47802
Fowler Airport,98647
Cherokee Strip,67844
Hines Farm Airport,04558
Gimlin Airport,56466
Fish Ranch Airport,65721
Lanni Field,None
Doc's Airport,None
Strip in the Woods Airport,68361
Jer-Mar Airpark,12475
Boggy Bottoms Airport,44050
Red's Field,43464
Slack Airport,97101
Connelly Field,17265
West Kerr Ranch Airport,29145
Alert Field,None
Flying 'T' Ranch Airport,None
Lynn Airport,75189
Lantana Ridge Airport,26410
Gardner Farm Airport,None
Milaca Municipal Airport,79243
Naylor field,None
Montezuma Airport,72173
Willow Pond Aviation Inc Airport,86322
Ancam Antique Airfield,30215
Skillet Fork Farm Airport,46041
Conrads Airport,62895
Neiner Airport,41030
N Bar Ranch Airport,60950
Double S Airport,None
Breckheimer Airport,27856:27868
Hoyt Airport,None
Riveredge Airpark,None
Four Seasons Airport,13029
Gerhart Airport,None
Nelson Ranch Airport,None
Lake Airport,None
Sexton Airport,17846
Lagrone Ranch Airport,29355
Cut and Shoot Airport,75032
Ferraraccio Field,77306
Woody Mc Clellan Ranch Airport,37043
Flying W Airport,76528
Key Way Airport,None
Erickson Field,98610
Draggintail Acres Airport,54762
Arthur Airport,12541
Empire Airport,76064
Crevice Creek Airport,89405
Kenai River Airpark,None
Talachulitna River Airport,99672
Tri-L Acres Airport,None
Elsanor Airport,35051
Berry Field,36567
Moore Field,36551
Breckenridge Airport,35004
Walls Airport,72112
Taylor Airstrip,72037
Cherokee Strip,72040
Diamond Bluff Airport,None
Country Air Estates Airport,None
Mobile Airport,72086
Paradise Air Park,None
Willow Springs Ranch Airport,85043
Franconia Airport,None
Chapin Field,03580
Argyle Airport,12816
Cottonwood Airport,12838
Frazier Lake Airpark,61088
Aha-Quin Airport,93251
On the Rocks Airport,None
Reed Airport,91901
Eagle Soaring Airport,80620
Pontious Airport,None
Williams Ranch Airport,None
Bellmore Farms Airport,81431
Clifford Field,80648
Melon Field,None
Dodsworth Airport,81067
Everitt Airport,None
Canton-Plymouth-Mettetal Airport,None
Mayfield Airport,None
Luther Airport,44685
Hector Municipal Airport,13037
Mckeown Airport,55342
Dry Swamp Airport,19709
Terlingua Ranch Airport,29039
Palo Duro Airport,None
Elkins Field,79118
Buffalo Airport,28433
Moores Airport,None
Maples Field,None
Plateau Sky Ranch Airport,None
Airpark East Airport,12134
Post Oak Ranch Airport,75160
Pine Island Airport,34429
Villa Char Mar Airport,33922
Bass Limited Airport,None
Corkscrew Trace Airpark,32350
Michael Airfield,34142
Eddie Dew Memorial Airpark,13039
Flying N Estates Airport,31331
Shilo Farms Airport,None
De De Airport,None
South One Ten Airport,31632
Aerie Airport,31639
C & W Air Park,30641
Answered Prayer Airport,31836
Beckley Farms Airport,None
Flying D Airport,31030-4313
Forestry-Strip Airport,30206
Hay Field,31523
Waverly Landing Airport,30650
Airlane Enterprises Airport,31831
Harvey Young Airport,13041
Nest of Eagles Airport,12083
Marcy Field,74108
Shawnee Field,12943
Converse Airport,47465
Delphi Municipal Airport,46919
Brown Truck Sales Airport,None
Wallace Field,None
Aero-Lane Airport,50841
Beaux Ranch Field,51645
Red Baron Airpark,83841
Skyline STOLport,83325
Adams Airport,83245
Davis Airport,46711
Amy Airport,47838
Morris Airport,46960
Barnstorm Field,46140
Flight Park Inc Airport,61738
Loy Airport,62260
Holland Field,60912
Belknap-Icarus Acres Airport,61754
Confer's Place Airport,47456
Robinson Airpark,46818
Bottoms Brothers Airport,47117
Harold Emmerich Airport,47918
Triple Creek Airport,62221
Cribbet Airport,61813
Swan Valley Farm Airport,62514
Walder's Farm Airport,61078
Fort Walton Beach Airport,60518
Mahogany Mtn. Airport,32566
Lloyd Stearman Field,97638
Hamilton Field,67017
Waynoka Municipal Airport,67037
South Grand Lake Regional Airport,73860
Kalakaket Creek AS Airport,74301
Huey Airport,None
Cochran Airport,67502
Risky Airport,66042
Leo's Place STOLport,66020
Keyser Airport,66554
Silers Plane Valley Airport,None
Hitch Feeders Ii Inc. Airport,67470
Buehler Airport,None
Belleair Airport,67871
Jordan Hill Farm Airport,40486
Kidwell Airport,40575
Triche Field,70542
Goose Island Airport,70057
Morrow Strip,None
Boondox Field,71356
Spring Brook Airport,61360
Janssen Airport,None
Edwin G. Bennett Airport,61078
Zoomer Field,None
Cal Mire Field,60966
Cameron Airstrip,70728
Ardmore Airport,71334
Myricks Airport,42041
Unknown Field,02779
Mayberry Run Airport,01745
Nikkila Farms Airport,None
Black River Ranch Airport,None
Ramsy Farm Airport,None
Mckenzie's Landing Airport,49807
Vlachos Acres Airport,49783
Southfork Airport,49747
Wetherbee Farm Airport,None
Hay Acres Airport,None
Molnau Airpark,56347
Sky Harbor Residential Airpark,55387
Lake Viking Airport,64742
Longwood Mfg Corp Airport,64620
Double S Ranch Airport,64640
Hines Airport,63943
Eagle's Point & Red Barn Village Airpark,65037
Tapley Airport,None
Peterson Airport,38773
Eagles Ridge Airport,39079
Columbus Air Force Base Aux Field Airfield,38632
Nine Quarter Circle Ranch Airport,39361
Skyrider Ultralightport,None
Wood Strip,None
Davis Airport,57928
Bobcat Field,None
Prill Field,None
Wilcox Airport,59472
Medcalf Field,59103
Smitty's Landing Airport,65738
Short Air Airport,64444
Mooseberry Airport,None
Church's Landing Airport,63755
Carlson Agricultural Airport,64440
Spadaro Airport,None
Albert Airport,11940
Bennett Airport,16821
Bohn Airstrip,21801
Preszler Airstrip,None
Myran Airstrip,59560
Delk's Airport,None
Ron's Ultralight Field,27205
Atwell Airport,27312
Fletcher's Airport,28115
Bell Strip,None
Riley Field,28573
Lonesome Field,None
