Airport Name,Zipcode
Heckler Field,6240
Bancroft Airport,6241
Mile Creek Airport,6242
Neustadt-Glewe Airport,6258
Yuin Station,6262
Thisted Airport,6270
Stonington Airpark,6278
Brandviei Airport,6280
Giants Castle Airport,6280
Alvie Cole Ranch Airport,6281
Manito Mitchell Airport,6281
Thomson Field,6282
Finsterwalde/Schacksdorf Airport,6295
El Trebol Airport,6300
Cóndor del Aire Airport,6300
Szatymaz Airport,6300
Maipu Airport,6307
Caledon Airfield,6312
Villa Del Rosario Airport,6319
Maplewood Farm Airport,6334
Salto Airport,6339
Newberg Airport,6347
Garcon Field,6351
Ripley Field,6351
Estancia La Criolla Airport,6354
Kamenz Airport,6366
Docktors Field,6372
Roberts Farm Airport,6378
Gager Field,6384
Spjald Airport,6400
Pusztaszer West,6400
Good Hill Farm Airport,6407
Juan Carlos Bagur Airport,6409
Gardner Lake Airport,6415
La Jasserie Airport,6420
Wings Ago Airstrip,6422
Mosjøen Airport (Kjærstad),6425
Carlos Casares Airport,6430
Establecimiento La Maria Pilar Airport,6430
White Cloud Airport,6438
Caleta Olivia Airport,6440
Wepener Airport,6445
Psk Ranch Airport,6447
North Canaan Aviation Facilities Inc Airport,6447
Rerik-Zweedorf Airport,6449
Dáka Airport,6453
Carmen De Areco Airport,6455
Flugplatz Niederwillingen,6467
Cottbus-Drewitz Airport,6493
Gol Airport,6522
Denman Farm Strip,6532
Darregueira Airport,6555
Hernando Airport,6555
Gledka Airport,6560
Torgau-Beilrode Airport,6567
Abrolhos North Island,6571
Vagar Airport,6580
Azcarate Irastorza Airport,6600
Hendrik Van Eck Airport,6600
Ostrovo,6604
"Sandefjord Airport, Torp",6611
Orient Glider Airport,6620
Clamensane Airport,6620
Frederikssund Nord Glider Field,6621
"Magdeburg ""City"" Airport",6636
Dány,6646
Bad Waldsee-Reute,6647
Vera Airport,6660
Vejrø Flyveplads,6682
Lincoln Airport,6700
F.A.T. Airport,6700
Endelave Flyveplads,6705
Reitz Airport,6705
Avernas-le-Bauduin ULM,6706
Alfredo Sanchez Airport,6720
Laguna De Gomez Airport,6720
Pilcaniyeu Airport,6720
Casilda Airport,6725
Flugplatz Klix,6729
Syferfontein Airport,6740
Buell Farm Ultralightport,6751
Spruce Airport,6756
Wychwood Field,6759
Skis Landing Area Airport,6763
Pusztacsalád Airport,6763
Dévaványa Airfield,6769
Flying Ridge Airstrip,6776
Sogndal Airport,6778
Mezőgazdasági repülőtér,6781
Long View Landing Airport,6783
Kaan Airport,6784
Schönebeck-Zackmünde Airport,6792
Westford Airstrip,6793
Recreation Corporation Airport,6798
Balatonlelle sárkány repülőtér,6800
Cap St Francis Airport,6835
Eisenhüttenstadt Airfield,6846
Wolmeransstad Airport,6850
Zutendaal Air Base,6870
Baisy-Thy ULM,6880
Gullknapp Flpl Airport,6905
Noertrange Airfield,6940
Slaglille Svæveflyvecenter,6971
Brønnøysund Airport,6975
Remada Air Base,7028
Belchinski Bani,7038
Trastenik Airfield,7050
Castelli Airport,7114
Rakovski Airstrip,7137
Fagerhaug Airport,7142
B&B Servicios Agropecuarios Airport,7150
Pokweni Glider Airport,7151
Marcos Paz,7160
General Pìnedo Airport,7163
Poblet Airport,7167
Corral De Bustos Airport,7174
Tandil Aeroclub Airport,7203
Staro Selishte,7205
General Deheza Airport,7223
Cookhouse Airport,7230
Yirol Airport,7244
Aeródrom de Binissalem,7250
Leirin Airport,7263
Varde Flyveplads,7280
Aggeneys Airport,7285
Msauli Airport,7299
St Hubert Airfield,7330
Mittelfischach UL,7338
Christiana Airport,7340
Segelflugplatz Konz-Könen,7343
Filskov Flyveplads,7361
Røst Airport,7374
Sabi Sabi Airport,7395
Rauch Airport,7403
Las Cortaderas Airport,7414
Holbaek (Ny Hagested) Airport,7451
Petruk Airport,7500
Estancia Los Lobles Airport,7500
Goya Aeroclub,7513
Fort Beaufort Airport,7570
Preguiça Airport,7600
São Filipe Airport,7600
Springs Airfield,7613
Kostervig Mon Airport,7620
Petrusville Airport,7620
Nika Airport,7635
Ursel Air Base,7640
Vilafranca de Bonany-Es cruce Airfield (Aerodromo Mallorca),7640
Viborg Airport,7730
Arlon-Sterpenich ULM,7750
Notodden Airport,7801
Greig Farm Airport,7825
George Airport,7832
Tønder Airport,7840
Seven Rivers Airport,7853
Dix Field,7857
Mahnomen County Airport,7860
Balen-Keiheuvel Airfield,7861
Grønholt Hillerød Airport,7884
Røros Airport,7900
Schaffen Airfield,7950
Bou Sfer Airport,8000
Sidi Bel Abbes Airport,8000
Tazadit Airport,8000
Kenderes Airport,8000
Bir Moghrein Airport,8000
Syracuse Suburban Airport,8014
Soderquist Airport,8041
Allen Airstrip,8060
Halka Nurseries Airport,8062
Kyritz Airport,8062
Butter Valley Golf Port Airport,8067
Mock Airport,8068
Coombs Airport,8079
Mc Kinney Airport,8088
São Filipe Airport,8110
Praia International Airport,8110
Caleufu Airport,8118
UL-Gelaende Pretzschendorf,8118
Pellegrini Airport,8142
Coronel Pringles Airport,8150
Rétság reptér,8164
Estancia La Carolina Airport,8170
Eduardo Castex Airport,8174
Dean Funes Airport,8183
Aeródromo de Algodor,8183
Clanwilliam Airport,8190
Nueva Galia Airport,8201
Jardin De América Airport,8208
Bad Berka Airport,8209
São Pedro Airport,8220
Preguiça Airport,8220
Boonville Airport,8226
Berdick Field,8234
Maxson Airfield,8234
Harris Airport,8241
Ringebu Airfield Frya,8250
Mezőhegyes,8300
Kruger Mpumalanga International Airport,8301
High Meadow Farms Airport,8302
Colon Airport,8303
Sydfyn (Tasinge) Airport,8305
Valley View Airport,8311
Hajmáskér repülőtér,8312
Zagortsi Airfield,8314
Long Acre Farms Airport,8318
Svishtov Airfield,8322
Mack Mesa Airport,8322
Alta Gracia Airport,8328
Villa Rumipal Airport,8336
Thies Airport,8360
Bartmess Airport,8360
Lunde Nome Airfield,8370
Parana Aeroclub Airport,8371
Genk Zwartberg Airfield,8377
Balatonkeresztúr Airfield,8380
Næstved Flyveplads,8381
AeroCieza,8389
Laguna Aeroclub Airport,8400
Saint-Ghislain Airfield,8400
Pinamar Airport,8412
Aeroglobus,8412
Paarl East Airport,8420
Aerofumigaciones Don Alejandro Airport,8424
Bedzhene Airstrip,8443
Koffyfontein Min Airport,8446
Somerset East Airport,8446
Lozarevo Airstrip,8500
Annisse flyveplads,8500
Club De Planeadores Airport,8504
Suboficial Auxiliar Miguel A. Cardone Airport,8508
Aeródromo Gurrea de Gállego,8509
Namsos Høknesøra Airport,8516
Aeródromo de Córdoba-Villarrubia,8519
Sanduff Farms Landing Field,8534
Flatval Airport,8536
Bloecher Farm Airport,8556
Peters Airport,8559
Leopoldsburg Airfield,8560
Neerpelt ULM,8560
Svæveflyvecenter Arnborg,8592
Gyõrszentiván-Bõny Airport,8592
Pusztaszer,8600
Aeródromo Loring,8610
Rognan Airport,8615
Zalacsány,8638
Orupgaard Flyveplads,8643
Ballószög Airport,8646
Aerodromo Vistabella del Maestrat,8650
Banak Airport,8660
Florennes Air Base,8670
Selskostopansko Airstrip,8693
Æra Airfield,8706
Margate Airport,8730
Bogense Flyveplads,8740
Lindtorp Airport,8765
Atkár Margit-kút,8782
Freerslev,8789
Ultralight Aeroclub Müller,8798
Kolding Vamdrup Airfield,8800
Utrecht Airport,8800
Shenandoah Airpark,8802
Vinnu Airport,8804
Inductotherm Airport,8822
Weidel/Private/ Airport,8848
Markle Airport,8865
Naknek Airport,8885
B-Ville Airpark,8889
Bridgeport-Cahill Field,8889
Port Elizabeth Airport,8890
Båtsfjord Airport,8904
Beaufort West Airport,8915
Groblersdal Kob Airport,8915
Alkantpan Copper Airport,8925
Gesten Glider Field,8950
Bou Saada Airport,9000
Bátonyterenye-Világosipuszta sportreptér,9011
La Igualdad Airport,9109
Two Rivers Airport,9110
Telsen,9111
Cushamen Field,9121
La Serre D'aulon Altiport,9140
La Salette Les Opinions Airport,9140
Hamra Airport,9141
"Vardø Airport, Svartnes",9152
Sandane Airport (Anda),9170
Tilisarao Airport,9201
Casilda Fumigaciones Airport,9203
Estancia Llamuco Airport,9223
Estancia San Ramón Airport,9223
Aeródromo de Aldeacentenara,9240
Branichevo Airstrip,9280
Paraglider Ternberg,9306
Eggemoen Airport,9325
Kunmadaras Air Base,9373
Klietz/Scharlibbe Airport,9387
Monte Carlo Airport,9410
Aytos Airstrip,9450
Altiport du Col de Cenise,9460
Altiport du Col De Belledonne,9460
Heringsdorf Airport,9496
Hoevenen Airfield,9500
Aeródromo de Trasmirás,9500
Base ULM de Fresnoy le Grand,9500
Seyne les Alpes Glider Field,9500
Førde Airport,9515
Kristiansund Airport (Kvernberget),9520
Hacienda de Orán,9589
Elverum Starmoen Airport,9590
Freeway Airport,9595
Bienenfarm Airport,9600
Stauning Airport,9600
Hasvik Airport,9601
Black Rock Airport,9660
Bjedstrup Airstrip,9700
Narvik Framnes Airport,9700
Karamanite Airstrip,9704
Rossettie Airport,9725
Lime Acres Finsch Mine Airport,9745
Jan Mayensfield,9760
Molde Airport,9770
Borovan Airstrip,9803
Skrydstrup Air Base,9870
Hoedspruit Air Force Base Airport,9880
Krivodol Airstrip,9921
Lolland Falster Maribo Airport,9940
Yunatsite Airstrip,9955
Nikola Kozlevo Airstrip,9971
Berlevåg Airport,9990
Kiewit Airfield Hasselt,9991
Canon Lodge Airport,10021
Witvlei Airport,10021
Narok Airport,10100
Nakuru Airport,10100
Luwingu Airport,10101
Tampere-Pirkkala Airport,10160
Campo de Vuelo de Xaraco,10251
Aeródromo Navalmoral de la Mata,10300
Valdenuño-Fernandez Airstrip,10357
Aeródromo de Brunete,10800
Harris Hill Gliderport,10921
Catalano Airfield,10933
Kenley Airport,10998
Touggourt Sidi Madhi Airport,11001
Sidi Ifni Xx Airport,11016
Beauvoir-Sur-Mer,11100
Altiport du Col du Béal,11140
Altiport du Col de Sarenne,11140
Campo de Aviación de Ablitas,11170
Base ULM de Javerlhac,11300
Base ULM de Kerfot,11300
Vinaròs Airfield,11560
Alexânia Municipal Airport,11630
Aeródromo Calzada de Valdunciel,11660
Sankey Airport,11666
Minnkota Private Airport,11705
Walton Airport,11759
Abu Simbel Airport,11834
Borg El Arab International Airport,11834
Gibbs Field,11902
Bir Abu Rahal Airport,11915
Birma Air Base,11915
Albert Airport,11940
Harden Airstrip,11940
Land's Inn Ranch Airport,11964
Batna Airport,12000
Piolis Brookside Airport,12009
Bellville Dam Landing Strip,12010
